"","DATE","PRODUCT","EX_REFIN","EXCISE_TAX","M_TAX","OIL_FUND","CONSV_FUND","WHOLESALE","VAT_WS","WS_VAT","MARKETING_MARGIN","VAT_MM","RETAIL","EX_RATE","FILE","DISCOUNT","OIL_FUND_2"
"128",2004-11-22,"FUEL600 (1) 2%S",8.6242,0.5224,0.0522,0.06,0.04,9.2989,0.6509,9.9498,2.7006,0.189,12.84,39.9918,"2390_ec1dcedb6dff2e2b3f24cfc753337bda.xlsx",NA,0
"129",2004-11-22,"FUEL1500 (2) 2%S",7.7013,0.4749,0.0475,0.06,0.04,8.3236,0.5827,8.9063,3.1636,0.2214,12.29,39.9918,"2390_ec1dcedb6dff2e2b3f24cfc753337bda.xlsx",NA,0
"130",2004-11-22,"LPG-LARGE(B/KG.)",12.7142,2.17,0.217,-2.6443,0,12.4569,0.872,13.3289,3.2566,0.228,16.81,39.9918,"2390_ec1dcedb6dff2e2b3f24cfc753337bda.xlsx",NA,0
"131",2004-11-22,"LPG-SMALL(B/KG.)",12.7142,2.17,0.217,-2.6443,0,12.4569,0.872,13.3289,3.2566,0.228,16.81,39.9918,"2390_ec1dcedb6dff2e2b3f24cfc753337bda.xlsx",NA,0
"132",2004-11-22,"LPG-CARS(B/KG.)",12.7142,2.17,0.217,-2.6443,0,12.4569,0.872,13.3289,3.2566,0.228,16.81,39.9918,"2390_ec1dcedb6dff2e2b3f24cfc753337bda.xlsx",NA,0
"133",2004-11-24,"ULG 95R ; UNL",13.6515,3.685,0.3685,0.5,0.04,18.245,1.2771,19.5221,1.5588,0.1091,21.19,39.8461,"2399_9ecb15ada55b1402110382bcf1bb0d35.xlsx",NA,0
"134",2004-11-24,"ULG 91R ; UNL",12.8946,3.685,0.3685,0.3,0.04,17.2881,1.2102,18.4983,1.7679,0.1238,20.39,39.8461,"2399_9ecb15ada55b1402110382bcf1bb0d35.xlsx",NA,0
"135",2004-11-24,"GASOHOL",13.8895,3.3165,0.3317,0.04,0.036,17.6136,1.233,18.8466,1.863,0.1304,20.84,39.8461,"2399_9ecb15ada55b1402110382bcf1bb0d35.xlsx",NA,0
"136",2004-11-24,"KEROSENE",14.3568,3.055,0.3055,0.1,0.04,17.8573,1.25,19.1073,3.9222,0.2746,23.3,39.8461,"2399_9ecb15ada55b1402110382bcf1bb0d35.xlsx",NA,0
"137",2004-11-24,"HDIESEL(0.05%S)",14.7402,2.305,0.2305,0.5,0.04,12.5855,0.881,13.4665,1.05,0.0735,14.59,39.8461,"2399_9ecb15ada55b1402110382bcf1bb0d35.xlsx",NA,-5.2302
"138",2004-11-24,"L-DIESEL",14.5474,2.405,0.2405,0.5,0.04,12.4138,0.869,13.2828,1.0188,0.0713,14.37,39.8461,"2399_9ecb15ada55b1402110382bcf1bb0d35.xlsx",NA,-5.3191
"139",2004-11-24,"FUEL600 (1) 2%S",8.6242,0.5224,0.0522,0.06,0.04,9.2989,0.6509,9.9498,2.3653,0.1656,12.48,39.8461,"2399_9ecb15ada55b1402110382bcf1bb0d35.xlsx",NA,0
"140",2004-11-24,"FUEL1500 (2) 2%S",7.7013,0.4749,0.0475,0.06,0.04,8.3236,0.5827,8.9063,2.672,0.187,11.77,39.8461,"2399_9ecb15ada55b1402110382bcf1bb0d35.xlsx",NA,0
"141",2004-11-24,"LPG-LARGE(B/KG.)",12.7142,2.17,0.217,-2.6443,0,12.4569,0.872,13.3289,3.2566,0.228,16.81,39.8461,"2399_9ecb15ada55b1402110382bcf1bb0d35.xlsx",NA,0
"142",2004-11-24,"LPG-SMALL(B/KG.)",12.7142,2.17,0.217,-2.6443,0,12.4569,0.872,13.3289,3.2566,0.228,16.81,39.8461,"2399_9ecb15ada55b1402110382bcf1bb0d35.xlsx",NA,0
"143",2004-11-24,"LPG-CARS(B/KG.)",12.7142,2.17,0.217,-2.6443,0,12.4569,0.872,13.3289,3.2566,0.228,16.81,39.8461,"2399_9ecb15ada55b1402110382bcf1bb0d35.xlsx",NA,0
"144",2004-12-01,"ULG 95R ; UNL",13.9676,3.685,0.3685,0.5,0.04,18.5611,1.2993,19.8604,1.2426,0.087,21.19,39.4655,"2409_3c12bfbd727a5ccf10593fe2413989cf.xlsx",NA,0
"145",2004-12-01,"ULG 91R ; UNL",13.0977,3.685,0.3685,0.3,0.04,17.4912,1.2244,18.7156,1.5649,0.1095,20.39,39.4655,"2409_3c12bfbd727a5ccf10593fe2413989cf.xlsx",NA,0
"146",2004-12-01,"KEROSENE",14.6377,3.055,0.3055,0.1,0.04,18.1382,1.2697,19.4079,3.6413,0.2549,23.3,39.4655,"2409_3c12bfbd727a5ccf10593fe2413989cf.xlsx",NA,0
"147",2004-12-01,"HDIESEL(0.05%S)",14.4135,2.305,0.2305,0.5,0.04,12.6855,0.888,13.5735,0.95,0.0665,14.59,39.4655,"2409_3c12bfbd727a5ccf10593fe2413989cf.xlsx",NA,-4.8035
"148",2004-12-01,"L-DIESEL",13.9812,2.405,0.2405,0.5,0.04,12.2725,0.8591,13.1316,1.1601,0.0812,14.37,39.4655,"2409_3c12bfbd727a5ccf10593fe2413989cf.xlsx",NA,-4.8942
"149",2004-12-01,"FUEL600 (1) 2%S",8.8614,0.4993,0.0499,0.06,0.04,9.5107,0.6657,10.1764,2.4888,0.1742,12.84,39.4655,"2409_3c12bfbd727a5ccf10593fe2413989cf.xlsx",NA,0
"150",2004-12-01,"FUEL1500 (2) 2%S",7.878,0.4554,0.0455,0.06,0.04,8.479,0.5935,9.0725,3.0082,0.2106,12.29,39.4655,"2409_3c12bfbd727a5ccf10593fe2413989cf.xlsx",NA,0
